country,year,abaca__manila_hemp__raw_yield,agave_fibres__raw__n_e_c__yield,almond_yield,apples_yield,apricots_yield,areca_nuts_yield,artichokes_yield,asparagus_yield,avocados_yield,bambara_beans__dry_yield,banana_yield,barley_yield,bean_yield,beans__green_yield,blueberries_yield,broad_beans_and_horse_beans__green_yield,broad_beans_yield,buckwheat_yield,cabbages_yield,canary_seed_yield,carrots_and_turnips_yield,cashew_nuts_yield,cashewapple_yield,cassava_leaves_yield,cassava_yield,castor_oil_seed_yield,cauliflowers_and_broccoli_yield,cereals_n_e_c__yield,cereal_yield,cherries_yield,chestnut_yield,chickpeas_yield,chicory_roots_yield,chillies_and_peppers__green__capsicum_spp__and_pimenta_spp__yield,chillies_and_peppers_yield,cinnamon_and_cinnamon_tree_flowers__raw_yield,citrus_fruit_yield,cloves__whole_stems__raw_yield,cocoa_yield,coconuts_yield,coffee_yield,cow_peas_yield,cranberries_yield,cucumbers_and_gherkins_yield,currants_yield,dates_yield,edible_roots_and_tubers_with_high_starch_or_inulin_content__n_e_c__fresh_yield,eggplants_yield,fibre_crops__fibre_equivalent_yield,fibre_crops_yield,figs_yield,flax__raw_or_retted_yield,fonio_yield,fruit_yield,garlic_yield,ginger__raw_yield,gooseberries_yield,grapefruit_yield,grapes_yield,green_maize_yield,groundnut_yield,hazelnuts_yield,hempseed_yield,herbs__e_g__fennel__yield,hop_cones_yield,jojoba_seeds_yield,jute_yield,kapok_fruit_yield,karite_nuts_yield,kenaf__and_other_textile_bast_fibres__raw_or_retted_yield,kiwi_yield,kola_nuts_yield,leeks_yield,lemons_and_limes_yield,lentils_yield,lettuce_yield,linseed_yield,locust_beans__carobs__yield,lupins_yield,maize_yield,mangoes_yield,mate_leaves_yield,melon_yield,melonseed_yield,millet_yield,mixed_grains_yield,mustard_seed_yield,natural_rubber_in_primary_forms_yield,nutmeg__mace__cardamoms__raw_yield,oats_yield,oilcrops__cake_equivalent_yield,oilcrops__oil_equivalent_yield,okra_yield,olives_yield,onions_and_shallots__green_yield,onions_yield,orange_yield,other_berries_and_fruits_of_the_genus_vaccinium_n_e_c__yield,other_citrus_fruit__n_e_c__yield,other_fruits__n_e_c__yield,other_nuts__excluding_wild_edible_nuts_and_groundnuts__in_shell__n_e_c__yield,other_oil_seeds__n_e_c__yield,other_pome_fruits_yield,other_pulses_n_e_c__yield,other_stimulant__spice_and_aromatic_crops__n_e_c__yield,other_stone_fruits_yield,other_sugar_crops_n_e_c__yield,other_tropical_fruits__n_e_c__yield,other_vegetables__fresh_n_e_c__yield,oilpalm_yield,papayas_yield,peaches_and_nectarines_yield,pears_yield,pea_yield,peas__green_yield,pepper_yield,peppermint__spearmint_yield,persimmons_yield,pigeon_peas_yield,pineapples_yield,pistachios_yield,plantains_yield,plums_yield,poppy_seeds_yield,potato_yield,pulses_yield,pumpkins__squash_and_gourds_yield,pyrethrum__dried_flowers_yield,quinces_yield,quinoa_yield,ramie__raw_or_retted_yield,rapeseed_yield,raspberries_yield,rice_yield,roots_and_tubers_yield,rye_yield,safflower_seed_yield,cotton_yield,sesame_seed_yield,sisal__raw_yield,sorghum_yield,sour_cherries_yield,soybean_yield,spinach_yield,strawberries_yield,string_beans_yield,sugarbeet_yield,sugarcane_yield,sugar_crops_yield,sunflower_yield,sweet_potatoes_yield,tallowtree_seeds_yield,tangerines_yield,taro_yield,tea_yield,tobacco_yield,tomato_yield,treenuts_yield,triticale_yield,true_hemp__raw_or_retted_yield,tung_nuts_yield,vanilla__raw_yield,vegetables_yield,vetches_yield,walnuts_yield,watermelons_yield,wheat_yield,yams_yield,yautia_yield,barley_attainable_yield,cassava_attainable_yield,cotton_attainable_yield,groundnut_attainable_yield,maize_attainable_yield,millet_attainable_yield,oilpalm_attainable_yield,potato_attainable_yield,rapeseed_attainable_yield,rice_attainable_yield,rye_attainable_yield,sorghum_attainable_yield,soybean_attainable_yield,sugarbeet_attainable_yield,sugarcane_attainable_yield,sunflower_attainable_yield,wheat_attainable_yield,barley_yield_gap,cassava_yield_gap,cotton_yield_gap,groundnut_yield_gap,maize_yield_gap,millet_yield_gap,oilpalm_yield_gap,potato_yield_gap,rapeseed_yield_gap,rice_yield_gap,rye_yield_gap,sorghum_yield_gap,soybean_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,sunflower_yield_gap,wheat_yield_gap
World,1961,0.5204,1.0778999,1.0297999,9.9059,6.1752996,0.7127,8.275,2.6495,9.103499,0.7309,10.6459,1.3282,0.49319997,5.2837996,11.608,5.4673,0.89629996,0.5344,17.2854,0.66539997,16.114399,0.49899998,4.2035,,7.4042997,0.4703,13.887899,0.59679997,1.3532,13.908,5.7781,0.649,18.2355,8.9656,0.862,0.5367,10.9594,0.3437,0.2694,4.5432997,0.464,0.3604,6.4614,9.4311,39.325397,7.6879997,4.5842,8.8664,0.39319998,0.5606,2.5272,,0.5796,7.3445997,5.5764,1.9217999,3.8888,21.3513,4.6059,5.3708997,0.84929997,0.6088,0.241,0.6671,1.2281,,1.3957,1.2814,1.9887999,0.8875,,1.2355,13.234699,12.747399,0.52779996,15.2188,0.4016,2.9373999,0.5798,1.9423,8.5109,52.5751,11.1465,0.58309996,0.5925,1.9557999,0.53209996,0.5464,0.15799999,1.2961,0.428,0.2348,3.3969998,3.1453,10.866099,11.6806,12.6692,8.0309,3.9266,7.1022997,6.4181,1.0997,,0.5002,5.924,5.6493998,5.161,7.2251997,8.4191,3.7658,11.5847,9.4234,10.432799,0.973,5.8044,0.4655,8.2976,8.090099,0.81689996,10.3737,0.58529997,5.0263,15.578,0.5239,12.2157,0.6371,4.4705,0.2826,8.8968,0.61719996,1.17,0.5728,6.1672997,1.8693,9.5679,1.1604999,0.43179998,0.8624,0.2861,0.85969996,0.8896,8.5567,1.1287,8.8804,8.0153,5.3591,23.1735,50.265,38.1576,1.0224999,7.3479,,8.229899,5.9168997,0.7201,1.0517,16.4347,1.3454,,0.6337,7.9669,0.0837,9.3389,0.8616,3.0807998,9.126699,1.0889,7.2345,5.0748,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.7518,9.6757,1.7876,1.4207001,5.4477,0.62750006,15.7442,17.2043,1.5372,3.7807002,3.1595001,1.3903999,1.6812999,37.6265,41.175003,0.79750013,3.5510998
World,1962,0.6033,0.9988,0.5797,11.888,4.8722997,0.6885,7.3350997,2.7767,9.1832,0.72529995,10.6621,1.5253999,0.4996,5.2225,10.1206,5.343,1.022,0.45589998,16.8687,0.7083,16.0549,0.51269996,4.1972,,7.5460997,0.479,12.7456,0.5711,1.4275,12.9351,5.2432,0.5955,16.5663,8.7565,0.8979,0.5232,10.5476,0.26,0.2716,4.7023997,0.4432,0.35439998,7.2107997,9.17,36.389297,7.5901,4.6271,9.4032,0.39999998,0.54539996,2.4843,,0.65819997,7.8099,5.6580997,2.1601999,3.9910998,21.035799,5.6958,5.5723,0.86249995,0.73859996,0.2465,0.6749,1.3268,,1.3781999,1.2969999,1.8549999,0.8009,,1.2484,13.3833,11.8835,0.5767,15.6398,0.4533,2.7445998,0.4621,1.9796,8.7026,55.2879,11.6383,0.581,0.56189996,2.2152,0.50299996,0.5311,0.155,1.4646,0.4373,0.2346,3.3873,2.0197,11.7822,11.6039,12.2697,7.7841997,3.9515,6.9989996,3.8476,1.0725,,0.52739996,1.3564,5.2037,5.1454997,7.2132998,8.2883,3.8702,11.5153,9.0801,11.655399,1.0950999,5.9070997,0.6495,8.7083,6.8339996,0.5603,10.813499,0.5809,5.0962,10.4716,0.5354,11.4361,0.66639996,4.3122997,0.305,8.7055,0.67069995,1.1984999,0.5875,6.5699997,1.8958,9.3048,1.1478,0.6325,0.91419995,0.29569998,0.8796,0.94299996,8.0493,1.1384,9.3904,7.7030997,5.3045,21.6098,48.407997,36.5384,1.0164,7.726,,7.4150996,5.6647,0.7155,1.1058999,16.976099,1.1363,,0.624,6.1068997,0.0753,9.4116,0.9187,3.3121,9.5913,1.206,7.2181997,5.1879,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.5546,9.5339,1.7358001,1.4075,5.4104,0.65810007,15.6398,17.9839,1.5224999,3.7542,3.1722002,1.337,1.6716,39.1902,43.032005,0.8036001,3.434
World,1963,0.6505,1.0260999,0.7819,11.2283,6.0021,0.6983,6.5355997,2.9011,9.3406,0.71999997,10.8182,1.4286,0.4904,5.2177997,8.7415,4.9474,1.0453,0.429,17.7552,0.6878,17.034199,0.51269996,4.2823997,,7.6078,0.4933,13.402499,0.5858,1.4401,12.9063,5.5973,0.5858,18.098799,8.9309,0.88409996,0.5489,10.1101,0.3055,0.2835,4.6531997,0.4016,0.2764,6.9814997,9.4889,38.5383,7.1464,4.663,9.7529,0.4238,0.5624,2.5286,,0.6283,7.6029,5.8149,2.1027,4.097,19.393599,5.0604997,5.6914,0.88339996,0.6274,0.257,0.6559,1.3356,,1.3883,1.4785,1.7695999,0.8268,,1.2343999,14.5344,11.5166,0.573,15.7064,0.4479,2.6516,0.3551,2.0311,8.5293,39.8584,12.1433,0.6523,0.5717,2.1306,0.5191,0.5324,0.1873,1.4919,0.4446,0.242,3.4494998,2.8874998,12.0841,11.7443,11.6509,7.7718997,3.9814,7.1784,7.7537,1.0672,,0.5008,1.4876,4.8405,5.1356,7.2627997,8.4972,3.8604999,11.7535,9.8575,10.5201,0.8627,5.7447,0.66639996,8.9838,7.5555,0.6369,10.8649,0.7155,5.2075996,12.8504,0.5098,12.2767,0.6134,3.8102,0.2456,7.7633996,0.74439996,1.1965,0.5361,7.1186,2.0567,9.866099,1.0945,0.6383,0.98399997,0.2889,0.8585,0.96199995,6.8947,1.1560999,9.9805,8.4438,5.4375997,21.8786,48.6699,36.2341,0.96959996,8.1853,,7.3961,5.8828998,0.73149997,1.094,16.7347,1.2458999,,0.6318,9.189799,0.1326,9.523,0.7072,3.3437,9.750299,1.132,7.416,5.1050997,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.6514,9.4722,1.6660001,1.3866,5.3589,0.64830005,15.6495,17.1433,1.5739,3.5933,3.2255,1.3180001,1.6539,38.921402,42.770103,0.8504001,3.508
World,1964,0.60749996,1.0447,0.80789995,11.6368,5.7709,0.6915,8.268,2.8762999,9.1911,0.71999997,11.0608,1.5511999,0.4901,5.3405,10.9285,4.8842,1.1079999,0.53679997,18.8829,0.8149,17.1154,0.54289997,4.2397,,7.9044,0.5326,13.496599,0.60609996,1.4937999,13.2331,5.0590997,0.5058,17.6835,8.7093,0.9004,0.51949996,10.3116,0.2977,0.3399,4.4873,0.3841,0.2879,7.1912,9.6701,37.0527,6.5318,4.7176,9.8344,0.4271,0.5658,2.6978998,,0.64739996,7.8273997,5.6794,2.0718,3.8869,19.412699,5.4427,5.2414,0.88189995,0.91279995,0.2633,0.67789996,1.3629,,1.3518,1.5086,1.9504,0.92359996,,1.2758,13.205899,12.5089,0.5464,15.8806,0.4071,3.2128,0.5064,1.9936999,8.5988,38.3247,12.1839,0.6145,0.6295,2.2505999,0.5225,0.5451,0.2022,1.4782,0.45009997,0.2376,3.4786,1.5806999,12.9247,11.8982,11.559899,7.9118,4.0148,7.3030996,5.2166,1.0751,,0.5395,1.3037,5.1712,5.1015997,7.2201,8.739699,3.8379,11.356999,9.8926,11.7067995,1.0,5.7469,0.59319997,10.9668,7.5154,0.5494,11.1108,0.654,5.2077,10.4816,0.3741,13.102699,0.6422,3.7637,0.25239998,7.7538,0.70739996,1.2004,0.56589997,7.1271996,2.1025,10.0205,1.1018,0.5543,1.0042,0.304,0.84059995,0.9593,9.4844,1.1323,10.038799,9.9971,5.1956997,25.911098,51.5303,39.167698,1.1995,7.332,,8.3966,5.5601997,0.7511,1.2006999,17.4684,1.2554,,0.61399996,10.4438,0.1397,9.7508,1.0776,3.4448,10.063,1.2413,7.5344996,5.1386,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.5288,9.1756,1.6458001,1.3881,5.3963,0.59050006,15.6721,16.3173,1.5440999,3.5475001,3.2182002,1.3206999,1.6776999,34.8889,39.909702,0.6205001,3.3986998
World,1965,0.5561,1.0408,0.7661,10.760099,5.9209,0.676,8.778999,2.914,9.6032,0.71999997,11.186399,1.5479,0.49429998,5.1324,10.8003,5.1472,1.1258,0.599,19.1531,0.79679996,17.1285,0.5355,4.4151998,,7.9357996,0.5466,13.9023,0.6235,1.4966999,10.8708,4.2736998,0.63879997,18.088,8.5292,0.8596,0.5056,10.849299,0.29799998,0.2677,4.2518997,0.50949997,0.2749,7.7207,9.7156,36.6912,6.9115996,4.6731,10.1163,0.44919997,0.529,2.6183999,,0.6319,7.9631996,5.9392,2.29,4.0388,21.823,5.7453,5.5088,0.80079997,0.5355,0.2652,0.7035,1.2955999,,1.2947,1.532,1.8542999,0.9623,,1.2522,13.8532,11.939799,0.58629996,16.0859,0.4996,3.1459,0.817,2.1237,8.5799,32.0873,12.5791,0.6457,0.5358,2.2898,0.4163,0.54219997,0.1927,1.5433999,0.4709,0.24479999,3.5149,2.396,12.9444,11.8157,12.4457,8.035399,3.9929,7.3683,5.8457,1.1904,,0.53999996,1.1653,5.4428997,5.1531997,7.3275,8.748099,3.8126,11.965799,9.814,9.4706,1.0171,5.8585997,0.46069998,16.615799,6.5923996,0.71129996,11.2396,0.60499996,5.3473997,10.7409,0.4608,12.664599,0.6606,4.2838,0.2322,7.9821997,0.69589996,1.1865,0.74079996,5.7398996,2.0353,10.308499,1.2437999,0.6268,1.0632,0.27899998,0.7913,0.98889995,7.0734997,1.2279,10.4113,8.1255,5.4009,24.6416,52.262398,39.8169,1.0591999,9.116,,8.2331,5.7964,0.7576,1.1481,18.143799,1.1517999,,0.5864,3.8981,0.1382,9.9438,0.9361,3.3885,9.9156,1.2150999,8.039,5.1953,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.5321,9.1442,1.5868001,1.4692,5.2663,0.68420005,15.6974,16.755402,1.3692,3.6147,3.0762002,1.2911,1.5820999,36.1584,39.177605,0.7608001,3.4249
World,1966,0.6994,1.0443,0.75879997,10.763,5.4855,0.66679996,8.908,3.0365999,9.491799,0.7309,11.165,1.6535,0.5,5.2240996,5.1658,5.1322,0.95119995,0.5336,19.914099,0.74039996,18.053099,0.5196,4.0276,,7.9606,0.6089,13.793699,0.6103,1.6101999,13.505799,4.4123,0.5405,16.0404,8.7251,0.8806,0.44079998,13.255899,0.2944,0.32979998,4.3575997,0.4256,0.22729999,8.4825,10.2699995,40.7939,6.975,4.6519,10.3547,0.46109998,0.5571,2.7024999,,0.64089996,8.1762,6.0702,2.2001998,3.8393,23.4114,5.4595,5.6092,0.8315,0.96279997,0.2658,0.6522,1.3284,,1.3139,1.5467,1.9338,0.956,,1.2566999,13.2457,12.9808,0.55759996,15.9958,0.44869998,2.6137,0.7668,2.2078,8.539599,30.2108,12.613299,0.5793,0.62439996,2.224,0.5157,0.5751,0.1644,1.5812999,0.5063,0.2583,3.5946,2.7299,13.1394,12.264899,15.691,7.3262,4.0178,7.5227,4.6101,1.216,,0.529,1.1222,5.0445,5.2325997,7.1751,8.9043,3.8855999,12.129499,9.1313,11.6258,1.0337,5.8374,0.5137,17.1115,5.7402,0.65959996,11.5779,0.7653,5.5227,11.2625,0.4799,13.120399,0.6243,5.1218,0.3137,7.3680997,0.6124,1.1998,0.67429996,6.1829996,2.0781,10.6558,1.2067,0.754,1.0713999,0.2712,0.7773,1.1026,7.5839,1.3722999,10.7155,8.231999,5.1872997,27.022999,51.2268,40.5108,1.1718999,9.6067,,11.768,5.9330997,0.7866,1.2006,18.3004,1.2261,,0.6457,9.532499,0.15799999,10.252399,1.0235,3.6137,10.6461,1.4079,8.3631,5.4316,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.4264998,9.1194,1.5786002,1.4384999,5.1822,0.59560007,15.6244,16.2996,1.4356999,3.5719001,3.1133003,1.1774,1.4377,33.777,40.213203,0.64810014,3.2321
World,1967,0.65169996,1.0666,0.9267,11.7639,6.8083997,0.7202,8.9881,2.9928,9.6887,0.6781,11.4087,1.6955,0.5221,5.3475,5.0722,5.356,0.9384,0.6436,20.4704,0.7834,18.4741,0.50589997,4.5204,,8.020599,0.61259997,13.979,0.6214,1.6532999,12.5213995,4.0852,0.4917,18.825699,8.8891,0.9076,0.49179998,13.752999,0.4021,0.3294,4.0768,0.4606,0.192,7.4658,10.5817995,32.7747,6.5116,4.6486998,10.606299,0.44149998,0.5431,2.6863,,0.63989997,8.3925,6.1438,2.3339999,3.6996999,26.5796,5.6124,5.7023,0.8772,0.539,0.2751,0.6836,1.3565999,,1.2897999,1.5141,1.8212,0.9256,,1.3382,14.03,13.139999,0.5586,16.311499,0.43219998,2.4429,0.74539995,2.4236,8.7008,39.243298,12.6897,0.6049,0.6592,2.4019,0.56189996,0.5779,0.1634,1.6317999,0.5123,0.26029998,3.6469,2.5819,13.0004,12.4107,16.4124,7.3996997,4.0462,7.5491,5.4192,1.2248,,0.5471,1.1183,5.6836,5.3623,7.2377,9.1152,4.2653,12.193299,8.8314,10.495299,1.0091,6.2118998,0.4667,13.5863,5.9557,0.45859998,11.938,0.5559,5.6405,9.9337,0.468,13.841599,0.604,5.7089996,0.3123,8.123099,0.7105,1.2099,0.74219996,6.3055997,2.1749,11.152599,1.3086,0.6561,1.0116999,0.2882,0.75839996,1.1093999,6.5066,1.3493999,10.8667,8.6008,5.3824,29.556099,52.155,41.8433,1.2734,10.3309,,10.8663,5.3598,0.7726,1.2644,18.7719,1.1968,,0.64239997,9.156899,0.1616,10.5701,1.1639,3.5967,10.8284,1.3392,8.892,5.6310997,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.3845,9.059401,1.6383002,1.3928,4.9664,0.5608,15.2447,15.578401,1.3678,3.4751,3.0114002,1.1706,1.4606,31.2439,39.285004,0.5466001,3.3007998
World,1968,0.6351,1.073,0.8244,10.5815,6.6309,0.73969996,8.684199,3.3621,9.3805,0.6929,11.6883,1.7931,0.5014,5.2532997,5.7314,5.2152,0.90279996,0.71919996,20.1929,0.72349995,18.5246,0.5334,5.1449,,8.3039,0.6121,13.6755,0.6296,1.6963999,13.4661,4.2029,0.68939996,18.9032,9.1498995,0.9242,0.4125,12.901799,0.29,0.3056,4.0861998,0.43359998,0.22809999,7.8187,10.9733,39.135998,6.2078,4.6334,10.9558,0.4391,0.5668,2.754,,0.63519996,8.4737,6.64,2.4131,4.0666,22.4443,5.8975997,5.9174,0.83529997,0.8278,0.2821,0.74979997,1.3101,,1.1271,1.3650999,1.8788999,0.881,,1.4559,14.0414,13.4969,0.6052,16.3465,0.5029,2.9001,0.752,2.2893999,8.705,37.4083,12.8411,0.4281,0.6198,2.5509999,0.66139996,0.6161,0.1687,1.7019,0.5373,0.2654,3.6718998,2.3792,12.8475,12.577,14.6442995,7.4094996,4.1352,7.5958,4.9728,1.2322999,,0.58239996,1.0537,6.0343,5.5181,7.0411997,9.2944,4.4186,11.9253,10.031899,12.7246,1.1064,6.0931997,0.6275,16.3221,5.134,0.6407,11.912399,0.8973,5.4986,11.0155,0.48189998,14.3266,0.655,6.9003,0.3347,8.936,0.62009996,1.2191,0.7633,5.8582997,2.2328,11.4291,1.4054999,0.52889997,1.0826,0.2857,0.7499,1.0991,9.484799,1.4345,11.79,8.491099,5.4214,31.954498,52.7944,43.1059,1.2772,10.606299,,12.2188,5.5032997,0.7829,1.2633,19.2888,1.1819999,,0.5997,9.6673,0.129,10.8665,1.2135,3.7421,11.004399,1.4534,7.6467,5.5161,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.2869,8.7761,1.5674001,1.4347,5.1006002,0.60020006,15.0914,15.0934,1.3467,3.4172,2.9145002,1.1809,1.3755,28.8455,38.645603,0.54280007,3.1865997
World,1969,0.6364,1.0673,0.7344,11.640599,6.3188,0.69909996,9.3602,3.5558,9.368199,0.7737,11.7817,1.7821,0.5124,5.4105,2.961,5.2116,0.90199995,0.6525,19.9765,0.73499995,18.5774,0.5111,4.8924,,8.348599,0.6113,13.7196,0.6239,1.7088,9.200399,4.2858,0.6139,17.2629,8.9762,0.91569996,0.5275,13.8412,0.2844,0.3331,3.8483,0.47509998,0.24229999,9.637899,11.0617,38.7259,7.6633,4.628,11.090899,0.43699998,0.5139,2.8068,,0.64059997,8.654699,6.8511996,2.7148,4.1728,26.135,5.7692,5.7079,0.8757,0.81439996,0.27359998,0.65599996,1.3585,,1.3313,1.0734,1.8420999,0.8506,,1.4930999,13.419499,13.7729,0.63549995,16.8293,0.4951,2.7266,0.7179,2.4206,8.518,32.9754,12.9383,0.4996,0.6703,2.5044,0.5003,0.6272,0.1793,1.7185999,0.5317,0.2625,3.7056,2.4313998,11.911099,12.7443,16.192999,7.3532996,3.9873998,7.6120996,5.1089,1.208,,0.5828,1.0711,5.6127,5.6893997,6.989,9.3793,4.4818,11.8022995,9.5679,11.7063,1.1682,6.2223,0.5209,15.7457,5.848,0.7048,11.8592,0.6484,5.7419,12.1375,0.6184,13.465699,0.6566,7.3156996,0.24399999,8.413,0.55759996,1.244,0.72749996,6.1401,2.254,11.1213,1.4419,0.6044,1.0143,0.3071,0.7881,1.0641,7.8957996,1.4523,12.1665,8.8295,5.4213,28.3555,53.5743,42.3331,1.2217,10.965,,11.6758995,5.5147,0.7752,1.2142999,18.878899,1.1771,,0.60429996,9.7989,0.1679,10.9307995,1.3155999,4.0313,11.0991,1.4174,8.5651,5.7474,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.2979,8.7314005,1.6357001,1.3943,4.9694,0.5497,15.0282,15.954301,1.3824999,3.3960001,2.8781002,1.2159,1.3577,32.4445,37.865704,0.5983001,3.2226
World,1970,0.7247,1.0708,0.73719996,9.718599,5.8722,0.6852,9.6708,3.7875,9.0535,0.6748,11.5851,1.8054999,0.54109997,5.467,2.9039,5.0859,0.9474,0.6556,20.701199,0.8768,18.377699,0.51089996,4.2743,,8.486,0.5632,13.4928,0.6301,1.7655,9.4626,4.1447997,0.6957,21.035,8.564199,0.94079995,0.479,12.842299,0.35869998,0.3541,3.9180999,0.4333,0.2427,10.5392,11.6159,31.3744,7.0910997,4.679,11.2638,0.43899998,0.55399996,2.7459,,0.6784,8.540299,6.8563,2.9066,4.2896,25.7876,6.1544,5.5074997,0.92209995,1.1884999,0.2696,0.6516,1.4498999,,1.2665,1.1051999,1.8535999,0.8318,5.0,1.6322,13.6586,13.2877,0.5721,16.9551,0.5746,2.5132,0.768,2.3509,8.542,37.8292,12.9886,0.39409998,0.73749995,2.3549,0.5969,0.6462,0.1908,1.7084,0.54609996,0.2703,3.8546,2.2222,12.814,12.521,15.1038,7.0839996,3.7621,7.7278,4.4082,1.1825,,0.5819,1.0461999,5.7228,6.8974,6.9216,9.198999,4.6362,11.7101,9.2352,11.821199,1.1711999,6.1724997,0.5275,16.9849,4.8334,0.6813,12.0008,0.80969995,6.0404,10.1508,0.6459,14.347799,0.6813,7.9459996,0.21579999,6.5828,0.6002,1.252,0.816,5.6857,2.3808,11.6186,1.382,0.6881,1.0424,0.34019998,0.7938,1.1287,7.3413997,1.48,13.605499,9.1283,5.5975,29.5266,54.764797,44.1865,1.1486,11.597199,,12.6635,4.627,0.77129996,1.2368,19.3281,1.1966,,0.5966,10.5358,0.1565,11.0384,1.3557,4.1186,11.1778,1.4941,8.449699,5.9516,4.08,17.08,2.65,2.27,7.39,1.22,19.51,29.42,2.11,5.65,4.32,2.28,2.81,60.8,91.44,1.82,4.64,2.2745,8.594,1.6076001,1.3479,5.0390997,0.48250008,14.8738,15.072201,1.2939999,3.2692,2.9380002,1.1513,1.3299999,31.2734,36.675205,0.67140007,3.1458998
